detection_idx,pulse_index,pulse_time_s,phase,detection_channel,ch130_amplitude,ch130_relevant,ch132_amplitude,ch132_relevant,ch135_amplitude,ch135_relevant,ch136_amplitude,ch136_relevant,ch137_amplitude,ch137_relevant,ch139_amplitude,ch139_relevant
0,945510,472.755,healthy,132,3.802794325665769e-05,True,266.026228654634,True,241.0970005721489,True,4.953832122848408,False,269.7933592652675,False,2.339309736541937,False
1,948106,474.053,healthy,132,4.4129452041275204e-05,True,4281.761035223548,True,4269.328300173635,True,482.8652806809319,False,4283.919452499807,False,155.84636710505902,False
2,951917,475.9585,healthy,132,3.685113026528857e-05,True,3996.625270309006,True,3991.167805947417,True,492.27943561679615,False,3997.2403673575604,False,155.09650362074888,False
3,954135,477.0675,healthy,132,3.936237945493681e-05,True,259.26239122811376,True,272.79749120188296,True,6.632764746010297,False,260.4460676104813,False,2.2568560196877634,False
4,956500,478.25,healthy,132,3.957848566878719e-05,True,4220.107453384057,True,4217.85765434846,True,480.61617040030086,False,4207.3852001541245,False,159.7165843010119,False
5,960570,480.285,healthy,132,4.412945204099907e-05,True,4163.24655117223,True,4155.264369658313,True,503.9500160195988,False,4159.944831163708,False,153.42400340457695,False
6,964625,482.3125,healthy,132,4.018099448801701e-05,True,4254.422225347676,True,4246.037392875426,True,508.50957068278217,False,4241.3835456351135,False,154.35843115903276,False
7,969378,484.689,healthy,132,4.018099448801701e-05,True,4052.9351454154526,True,4065.718810464484,True,495.0490452024877,False,4070.3828537176323,False,144.5638522046281,False
8,973768,486.884,healthy,132,3.9578485666547756e-05,True,243.32817747772526,True,231.88870284546974,True,6.022152359500331,False,241.10735656167947,False,1.7765918317082166,False
9,978856,489.428,healthy,132,4.477467519324594e-05,True,306.7725691702801,True,278.52702021528614,True,9.011354967953107,False,281.4718602349729,False,1.655835229520345,False
10,982958,491.479,healthy,132,3.689355926893621e-05,True,181.644062408151,True,179.24622612843302,True,8.864818866366758,False,187.778011653421,False,1.9105455806329517,False
11,986002,493.001,healthy,132,3.907540626203224e-05,True,288.1290248078465,True,280.4661343737675,True,7.292368558187806,False,273.1789240639636,False,2.5650229138900817,False
12,989086,494.543,healthy,132,4.4774675196979506e-05,True,241.6516951112734,True,265.7229052648711,True,3.776546752753758,False,270.16670922704327,False,2.726291505062974,False
13,992166,496.083,healthy,132,3.6668005321002884e-05,True,282.05316414819134,True,282.73177624237815,True,6.91838258024741,False,278.1547741939174,False,2.080850539039214,False
14,996243,498.1215,healthy,132,3.9075406262589394e-05,True,267.50894334563674,True,285.28435448563704,True,6.430185772538155,False,283.5645828411772,False,2.7962111575562822,False
15,999474,499.737,healthy,132,4.01809944870605e-05,True,294.57122129563044,True,286.62057523105364,True,4.037902589494572,False,285.5774689669306,False,1.9586783310630294,False
16,1003656,501.828,healthy,132,4.018099448718214e-05,True,305.38738878066874,True,312.5502060813559,True,5.481462995917219,False,298.89258434793715,False,1.9986652336230768,False
17,1007042,503.521,healthy,132,3.9578485663739144e-05,True,277.00202332637934,True,284.76752085653544,True,4.535611874792671,False,258.5587609022911,False,3.447734752338742,False
18,1010229,505.1145,healthy,132,4.422788952768047e-05,True,272.9767674801,True,300.0634281718068,True,13.034449362954202,False,270.71730416489333,False,3.262424885348518,False
19,1014451,507.2255,healthy,132,3.627247154906406e-05,True,284.29601754470633,True,294.646284124672,True,7.388241560805723,False,282.2398880148568,False,3.426080100093376,False
20,1018641,509.3205,healthy,132,3.9075406262589394e-05,True,280.2394547048002,True,276.03978066583943,True,7.02103284587294,False,300.5411397497245,False,1.9492071905558306,False
21,1021790,510.895,healthy,132,3.749930793261353e-05,True,294.542654817615,True,288.1734513617697,True,4.897556846760914,False,292.3858632374993,False,1.7593648758924085,False
22,1026003,513.0015,healthy,132,3.907540626203224e-05,True,309.2928254869232,True,275.0780357934464,True,9.4132132564442,False,287.8329967327817,False,2.6616841306752654,False
23,1029152,514.576,healthy,132,3.6272471548055704e-05,True,299.08510471137674,True,293.08151267197127,True,6.43817597721142,False,293.59458272331256,False,1.8320563537534706,False
24,1032398,516.199,healthy,132,3.572326058068276e-05,True,272.244005659085,True,280.26275224716414,True,7.733848556234368,False,265.81698290670846,False,1.7991842345566669,False
25,1035566,517.783,healthy,132,3.6272471548055704e-05,True,292.66776723903195,True,298.7012584754078,True,9.57361854928121,False,261.2485372564306,False,2.0076353897011048,False
26,1038095,519.0475,healthy,132,3.957848566878719e-05,True,2525.9883888631675,True,2487.250528733608,True,367.26289388536657,False,2496.427152166166,False,122.66498406594775,False
27,1041982,520.991,healthy,132,3.6272471548055704e-05,True,2607.1076367848636,True,2581.9513078209466,True,385.10202473393656,False,2564.923965014916,False,126.7427694654258,False
28,1046594,523.297,healthy,132,3.936237945325963e-05,True,2810.0298059946804,True,2778.569437251294,True,417.9265398214733,False,2769.732026380587,False,135.72776568338216,False
29,1051297,525.6485,healthy,132,4.0180994488321566e-05,True,2918.0844366835954,True,2911.0515634793264,True,417.0057164002175,False,2894.640958739153,False,129.97898074037954,False
