channel,hemisphere,stimulus_time,amplitude,latency,peak_time,baseline_std
9,healthy,0.1715,10.107906,22.0,23.0,1.8605577
12,healthy,0.1715,6.88171,33.0,33.0,1.8546659
13,healthy,0.1715,0.91163504,,21.5,0.25353754
4,healthy,3.663,7.4757867,5.0,15.0,2.4745688
13,healthy,3.663,1.1848954,45.5,46.0,0.20396188
14,healthy,3.663,1.3626158,24.0,24.5,0.24300832
2,healthy,9.6245,6.447637,8.0,18.5,1.302864
4,healthy,9.6245,10.122938,5.0,16.5,2.4967816
12,healthy,9.6245,26.89794,,32.5,6.3953376
14,healthy,9.6245,0.9153382,,25.0,0.2902785
2,healthy,12.212,10.337715,5.0,35.5,2.7207692
4,healthy,12.212,13.011631,5.0,31.0,3.2210493
9,healthy,12.212,5.8779163,9.0,48.0,1.1598856
12,healthy,12.212,13.568539,8.5,18.0,2.2457533
13,healthy,12.212,1.2641907,11.5,35.5,0.21408182
14,healthy,12.212,1.1463437,38.0,38.5,0.2246605
2,healthy,14.5205,10.599924,5.0,15.0,2.9730992
4,healthy,14.5205,14.241693,5.0,17.0,2.985551
12,healthy,14.5205,5.3948965,5.0,37.5,1.1446651
13,healthy,14.5205,1.2628322,37.5,38.0,0.2240575
14,healthy,14.5205,1.3389137,38.0,38.0,0.25376695
2,healthy,15.799,11.792817,15.0,37.5,3.5133338
4,healthy,15.799,17.872097,5.0,28.5,2.3928056
13,healthy,15.799,1.1365557,,20.0,0.2872259
14,healthy,15.799,1.2787683,37.5,37.5,0.28074992
9,healthy,16.6785,7.9558077,6.0,48.5,0.8837326
12,healthy,16.6785,16.836636,,38.0,5.5211906
13,healthy,16.6785,0.92735904,,25.0,0.24866413
14,healthy,16.6785,0.95358634,,39.5,0.24899264
4,healthy,18.6095,22.26788,8.0,47.0,2.3387635
9,healthy,18.6095,6.548212,5.0,16.0,1.4549567
13,healthy,18.6095,1.0059209,18.5,18.5,0.23777778
14,healthy,18.6095,0.9343743,,38.0,0.30365628
4,healthy,20.296,15.929741,5.0,25.5,2.6790574
9,healthy,20.296,10.578671,5.0,40.0,0.9376691
12,healthy,20.296,9.635159,,31.0,2.8864138
13,healthy,20.296,1.117919,5.5,37.0,0.196116
14,healthy,20.296,0.82837605,10.5,33.0,0.18596058
2,healthy,22.326,6.1388936,20.5,27.0,1.3717942
4,healthy,22.326,16.32611,5.0,15.0,5.2625475
13,healthy,22.326,1.1528286,42.0,42.0,0.25429025
14,healthy,22.326,0.8462261,5.0,36.0,0.19736321
4,healthy,23.1285,13.805498,16.5,17.5,3.3329883
9,healthy,23.1285,10.301934,33.0,48.5,1.6891286
12,healthy,23.1285,10.319702,31.0,44.5,1.8447889
13,healthy,23.1285,0.9860295,,32.0,0.27623785
14,healthy,23.1285,1.1473718,41.5,41.5,0.26284462
2,healthy,24.5385,14.735403,34.0,50.0,4.472417
13,healthy,24.5385,1.2677593,34.5,36.5,0.2003261
14,healthy,24.5385,1.1356382,,32.5,0.2604315
