TMS Pulse,Date,Time,M1 Location
1,11/5/2024,10:32:56.4 AM,La1
2,11/5/2024,10:34:32.8 AM,La1
3,11/5/2024,10:34:34.8 AM,La1
4,11/5/2024,10:34:36.9 AM,La1
5,11/5/2024,10:34:38.6 AM,La1
6,11/5/2024,10:34:45.8 AM,La1
7,11/5/2024,10:34:53.0 AM,La1
8,11/5/2024,10:34:55.6 AM,La1
9,11/5/2024,10:34:57.2 AM,La1
10,11/5/2024,10:34:59.0 AM,La1
11,11/5/2024,10:35:00.4 AM,La1
12,11/5/2024,10:35:02.6 AM,La1
13,11/5/2024,10:35:03.7 AM,La1
14,11/5/2024,10:35:05.5 AM,La1
15,11/5/2024,10:35:06.5 AM,La1
16,11/5/2024,10:35:07.8 AM,La1
17,11/5/2024,10:35:09.3 AM,La1
18,11/5/2024,10:35:11.0 AM,La1
19,11/5/2024,10:35:12.5 AM,La1
20,11/5/2024,10:35:14.0 AM,La1
21,11/5/2024,10:35:22.9 AM,La1
22,11/5/2024,10:35:26.2 AM,La1
23,11/5/2024,10:35:27.9 AM,La1
24,11/5/2024,10:35:33.8 AM,La1
25,11/5/2024,10:35:36.5 AM,La1
26,11/5/2024,10:35:41.8 AM,La1
27,11/5/2024,10:35:43.8 AM,La1
28,11/5/2024,10:35:45.3 AM,La1
29,11/5/2024,10:36:10.4 AM,La1
30,11/5/2024,10:36:13.1 AM,La1
31,11/5/2024,10:36:56.5 AM,La1
32,11/5/2024,10:37:18.5 AM,La1
33,11/5/2024,10:38:09.7 AM,La1
34,11/5/2024,10:38:11.2 AM,La1
35,11/5/2024,10:38:12.6 AM,La1
36,11/5/2024,10:38:14.3 AM,La1
37,11/5/2024,10:38:31.8 AM,La1
38,11/5/2024,10:38:37.8 AM,La1
39,11/5/2024,10:38:40.2 AM,La1
40,11/5/2024,10:38:42.8 AM,La1
41,11/5/2024,10:38:44.5 AM,La1
42,11/5/2024,10:38:45.8 AM,La1
43,11/5/2024,10:39:35.9 AM,Lm2
44,11/5/2024,10:39:40.7 AM,Lm2
45,11/5/2024,10:40:27.4 AM,Lm2
46,11/5/2024,10:40:31.1 AM,Lm2
47,11/5/2024,10:40:35.1 AM,Lm2
48,11/5/2024,10:40:37.8 AM,Lm2
49,11/5/2024,10:40:39.9 AM,Lm2
50,11/5/2024,10:40:41.9 AM,Lm2
51,11/5/2024,10:40:46.8 AM,Lm2
52,11/5/2024,10:40:48.9 AM,Lm2
53,11/5/2024,10:40:57.1 AM,Lm2
54,11/5/2024,10:40:59.1 AM,Lm2
55,11/5/2024,10:41:02.6 AM,Lm2
56,11/5/2024,10:41:10.7 AM,Lm2
57,11/5/2024,10:41:42.4 AM,Lm2
58,11/5/2024,10:41:44.6 AM,Lm2
59,11/5/2024,10:41:51.7 AM,Lm2
60,11/5/2024,10:41:53.3 AM,Lm2
61,11/5/2024,10:41:58.1 AM,Lm2
62,11/5/2024,10:42:02.1 AM,Lm2
63,11/5/2024,10:42:50.1 AM,Lm2
64,11/5/2024,10:42:51.6 AM,Lm2
65,11/5/2024,10:43:03.7 AM,Lm2
66,11/5/2024,10:43:14.4 AM,Lm2
67,11/5/2024,10:43:16.5 AM,Lm2
68,11/5/2024,10:43:30.9 AM,Lm2
69,11/5/2024,10:43:48.3 AM,Lm2
70,11/5/2024,10:43:51.3 AM,Lm2
71,11/5/2024,10:43:54.1 AM,Lm2
72,11/5/2024,10:43:55.1 AM,Lm2
73,11/5/2024,10:43:57.0 AM,Lm2
74,11/5/2024,10:44:12.5 AM,Lm2
75,11/5/2024,10:44:13.5 AM,Lm2
76,11/5/2024,10:44:15.5 AM,Lm2
77,11/5/2024,10:44:18.8 AM,Lm2
78,11/5/2024,10:44:21.2 AM,Lm2
79,11/5/2024,10:44:22.5 AM,Lm2
80,11/5/2024,10:44:23.8 AM,Lm2
81,11/5/2024,10:44:40.8 AM,Lp3
82,11/5/2024,10:44:42.4 AM,Lp3
83,11/5/2024,10:44:49.4 AM,Lp3
84,11/5/2024,10:44:52.7 AM,Lp3
85,11/5/2024,10:44:57.7 AM,Lp3
86,11/5/2024,10:45:00.1 AM,Lp3
87,11/5/2024,10:45:02.0 AM,Lp3
88,11/5/2024,10:45:03.0 AM,Lp3
89,11/5/2024,10:45:04.2 AM,Lp3
90,11/5/2024,10:45:05.7 AM,Lp3
91,11/5/2024,10:45:11.1 AM,Lp3
92,11/5/2024,10:45:28.2 AM,Lp3
93,11/5/2024,10:45:29.1 AM,Lp3
94,11/5/2024,10:45:30.9 AM,Lp3
