detection_idx,pulse_index,pulse_time_s,hemisphere,detection_channel,ch2_amplitude,ch2_relevant,ch4_amplitude,ch4_relevant,ch7_amplitude,ch7_relevant,ch8_amplitude,ch8_relevant,ch9_amplitude,ch9_relevant,ch11_amplitude,ch11_relevant
0,15247,7.6235,healthy,2,2.452501712834616,True,3.3692528100832857,True,4.1552456527586035,True,2.7469382339622532,False,9.108057654473518,False,10.038667217638126,False
1,22426,11.213,healthy,2,6.9607152646036745,True,4.35807663988352,True,4.153224459461952,True,8.918981821144406,False,4.006354706248888,False,8.387253020652883,False
2,25561,12.7805,healthy,2,4.618292413610403,True,2.366761180438815,True,4.66397091706869,True,4.681835516066602,False,8.072098218335402,False,8.89384382909067,False
3,28939,14.4695,healthy,2,3.373372693539146,True,2.1163411391597733,True,3.6733357245567877,True,3.1778086402743746,False,5.919933084041585,False,7.626686809992181,False
4,36253,18.1265,healthy,2,3.612399417276379,True,3.6924827087035785,True,2.543063961087909,True,3.8086816878331184,False,4.38802392582104,False,13.717044197304045,False
5,47036,23.518,healthy,2,5.225854226830098,True,11.362150573401879,True,4.824849907052649,True,2.3701772533782717,False,5.635801506596055,False,5.4577110217677,False
6,54551,27.2755,healthy,2,5.472893222018838,True,3.0980438610453978,True,3.430815849004713,True,3.13466745125475,False,2.6922269193737387,False,7.881946370854268,False
7,63959,31.9795,healthy,2,2.8641162185981472,True,3.138800577776146,True,11.015625897313795,True,3.360620942898817,False,6.157904244872999,False,9.158218579946666,False
8,70076,35.038,healthy,2,5.845731786858288,True,2.9247789280475134,True,3.7484680228887064,True,3.116693610506784,False,2.820372025922946,False,13.284809584055342,False
9,77976,38.988,healthy,2,2.9179264384802184,True,3.2681355520413202,True,3.8034264797445383,True,2.4704553130694515,False,2.8679194589238315,False,12.092591595171468,False
10,81502,40.751,healthy,2,6.052015262985192,True,4.0844688257297825,True,3.923789413687261,True,4.59208028325149,False,3.5644713488828073,False,6.623907292565493,False
11,86789,43.3945,healthy,2,3.639099315793062,True,2.2441571696820137,True,4.235964715751197,True,4.458126169893369,False,5.03506753312133,False,6.282490149889953,False
12,94086,47.043,healthy,2,4.542168310090269,True,4.467392533022492,True,36.141408676896006,True,2.411739215461878,False,4.5306981953768055,False,7.564592637044033,False
13,100238,50.119,healthy,2,6.774608643433081,True,6.933728236407797,True,5.224102651513382,True,2.0149198280317613,False,2.6578713865572974,False,6.33049930124758,False
14,150314,75.157,healthy,2,5.134347362227075,True,4.404885842724013,True,5.9644828039435165,True,6.405436191429572,False,5.643901123371808,False,15.409297938299066,False
15,154758,77.379,healthy,2,3.108699498276257,True,3.894712322600394,True,4.907267049886885,True,5.147586325719725,False,9.381397277546503,False,12.114487731073083,False
16,159948,79.974,healthy,2,12.215654123654774,True,6.7103433678816256,True,4.106580367023081,True,6.792814075383342,False,8.755639164612447,False,8.62116358845729,False
17,163993,81.9965,healthy,2,3.0687333485327253,True,3.3371409941625956,True,3.929372978370856,True,5.9056518917053795,False,7.282829470589329,False,12.655725677156653,False
18,170897,85.4485,healthy,2,2.609003474316538,True,4.6972375942689695,True,3.9691111262590004,True,2.9293357479677873,False,5.900985656109231,False,6.6253243278959175,False
19,180431,90.2155,healthy,2,12.683003371992548,True,6.992464089085687,True,3.341217365814984,True,7.466295320864832,False,13.519878672381985,False,79.0890376781561,False
20,185995,92.9975,healthy,2,14.261603950115543,True,14.07834804654208,True,14.436744680733101,True,30.30723626397991,False,14.776857806289737,False,18.801196027609755,False
21,195167,97.5835,healthy,2,7.061837152014364,True,3.6782050239106825,True,3.6913706325484874,True,5.725690244225602,False,10.45828687209274,False,21.196170652586787,False
22,199988,99.994,healthy,2,47.59175089240843,True,17.426238610029387,True,21.831347329628997,True,38.42458974652558,False,17.371530275746046,False,25.06824155886784,False
23,207515,103.7575,healthy,2,15.743830193274782,True,12.490478789023737,True,19.239347133332235,True,35.80977945034776,False,19.619031596522603,False,22.490275403272847,False
24,209862,104.931,healthy,2,11.367209847441892,True,15.865797802964336,True,18.776953332950434,True,39.68729256709876,False,18.500915408945893,False,28.518157533280046,False
25,215373,107.6865,healthy,2,10.69202805910015,True,11.930964526903136,True,18.43040378302232,True,30.134424778390752,False,22.986297601040345,False,30.038322346242865,False
26,218090,109.045,healthy,2,14.22616468500161,True,18.920881131897612,True,33.78330949157104,True,35.97071477373125,False,23.35993147687759,False,35.5714180324746,False
27,221776,110.888,healthy,2,3.877847177573381,True,3.142069503025974,True,5.850789376598724,True,3.796718078822349,False,4.130675260025738,False,11.315622927335417,False
28,229635,114.8175,healthy,2,12.2914029069942,True,14.330259435583294,True,19.434835504636652,True,34.60939650407124,False,17.822293642560386,False,35.95934566009089,False
29,236550,118.275,healthy,2,14.407420498720317,True,16.81465239034419,True,18.12385021311049,True,40.59892713808334,False,19.38259076339959,False,33.06022779129756,False
30,239440,119.72,healthy,2,14.997991214772217,True,15.755210609859667,True,14.928894523088365,True,41.86593275236686,False,24.72775923867933,False,28.70208379109809,False
31,247319,123.6595,healthy,2,13.71000046143206,True,13.12723348271025,True,13.811294576540572,True,43.0562512335494,False,28.94096559679994,False,44.75048393022699,False
32,250614,125.307,healthy,2,15.030812565570834,True,14.010542169200628,True,16.366144830497337,True,38.59764585653879,False,27.64367571762869,False,45.34581315086409,False
