channel,hemisphere,stimulus_time,amplitude,latency,peak_time,baseline_std
4,healthy,0.876,2546.0103,,35.0,616.67316
7,healthy,0.876,6970.1006,5.0,19.0,1018.90405
8,healthy,0.876,2726.337,25.0,25.0,560.6924
11,healthy,0.876,7476.8125,6.5,20.5,1301.0883
2,healthy,1.855,2755.0952,9.0,19.0,480.83875
7,healthy,1.855,5248.039,5.0,15.0,920.0013
9,healthy,1.855,5919.0166,17.5,17.5,1461.763
2,healthy,3.029,3644.7449,45.0,45.0,908.8893
4,healthy,3.029,5090.7354,39.0,48.5,621.8843
7,healthy,3.029,7159.6562,5.0,15.0,1232.7697
9,healthy,3.029,13689.068,5.0,15.0,1184.2502
7,healthy,4.698,4913.5107,5.0,15.0,1013.55054
8,healthy,4.698,4847.979,8.5,40.5,539.8024
9,healthy,4.698,5104.83,5.0,30.0,1611.4036
11,healthy,4.698,9479.214,5.0,20.0,1623.8411
4,healthy,5.7185,4037.107,33.0,33.5,790.4965
11,healthy,5.7185,6398.6143,6.5,20.0,1825.0264
2,healthy,6.54,4232.701,7.0,21.5,689.34784
4,healthy,6.54,3828.7002,31.0,47.5,638.13916
7,healthy,6.54,3459.468,5.0,27.0,824.1953
4,healthy,7.4455,3315.0862,,23.0,1078.7054
7,healthy,7.4455,7187.302,5.0,17.0,2274.0369
8,healthy,7.4455,3587.1624,5.0,31.5,621.18506
9,healthy,7.4455,6482.773,6.5,24.5,1181.3087
11,healthy,7.4455,9123.316,9.0,18.0,1781.5447
2,healthy,8.714,4203.3857,5.0,46.0,1046.0891
4,healthy,8.714,3985.062,5.5,29.0,566.7749
8,healthy,8.714,2925.2085,,41.5,796.8051
11,healthy,8.714,8146.2354,27.0,29.0,2417.8542
2,healthy,10.006,3114.0063,38.0,42.5,680.6038
4,healthy,10.006,4316.6406,44.5,44.5,981.65375
7,healthy,10.006,5214.534,5.0,45.5,706.51416
8,healthy,10.006,2948.6147,13.5,15.0,578.94073
9,healthy,10.006,4521.254,5.0,15.0,783.3047
11,healthy,10.006,9701.754,,30.5,2745.9524
4,healthy,11.471,2503.03,,15.0,549.4387
8,healthy,11.471,4984.278,35.0,35.5,735.8786
9,healthy,11.471,8432.887,6.5,48.0,706.02563
11,healthy,11.471,21667.227,5.0,32.0,1860.8578
4,healthy,12.544,2620.4011,,32.0,822.11896
8,healthy,12.544,3548.1777,,16.0,752.57794
9,healthy,12.544,11159.801,16.5,35.0,1456.3907
11,healthy,12.544,8684.811,,20.5,2123.193
2,healthy,14.1225,3941.645,6.0,16.5,763.9297
4,healthy,14.1225,3484.713,19.5,19.5,869.8517
7,healthy,14.1225,11048.47,5.0,36.5,658.29974
8,healthy,14.1225,3248.2979,12.5,38.5,738.9038
4,healthy,15.2855,3262.8147,20.5,48.0,539.2869
11,healthy,15.2855,16601.898,10.0,46.5,2249.1729
4,healthy,16.7015,4365.837,48.0,37.5,969.40765
7,healthy,16.7015,10514.204,11.5,35.5,1720.147
8,healthy,16.7015,3351.3145,22.5,23.0,627.96234
9,healthy,16.7015,10209.199,11.0,19.5,1484.8057
11,healthy,16.7015,12618.74,32.0,46.5,2729.3525
2,healthy,17.669,4283.083,12.0,35.0,1054.0188
4,healthy,17.669,2250.3657,,41.5,689.8781
7,healthy,17.669,5996.9053,5.0,44.0,1334.0334
11,healthy,17.669,21275.684,33.0,38.5,5082.6304
4,healthy,19.2795,7417.9634,9.5,42.5,620.65955
7,healthy,19.2795,7482.953,6.5,37.0,1538.3317
8,healthy,19.2795,3262.7803,32.0,32.5,593.55634
11,healthy,19.2795,7205.0176,19.5,40.0,1775.7728
7,healthy,21.9685,7451.246,5.0,38.0,1324.5698
8,healthy,21.9685,2061.675,,16.5,661.24396
9,healthy,21.9685,8454.392,45.0,45.5,2364.5725
2,healthy,23.6735,5660.7383,5.0,42.5,910.0616
4,healthy,23.6735,16549.68,34.0,50.0,1137.6532
9,healthy,23.6735,7832.8237,5.0,46.0,587.0347
11,healthy,23.6735,9640.912,34.5,48.5,2233.6301
2,healthy,25.8275,3995.673,29.0,34.5,874.2591
7,healthy,25.8275,7033.1016,5.0,30.0,1238.4148
8,healthy,25.8275,5274.9526,47.0,50.0,1034.5988
9,healthy,25.8275,3770.6985,,15.5,1243.8043
