detection_idx,pulse_index,pulse_time_s,hemisphere,detection_channel,ch1_amplitude,ch1_relevant,ch2_amplitude,ch2_relevant,ch3_amplitude,ch3_relevant,ch4_amplitude,ch4_relevant,ch5_amplitude,ch5_relevant,ch6_amplitude,ch6_relevant,ch7_amplitude,ch7_relevant
0,4949,2.4745,healthy,1,3.645443225712409,True,3.5597194852378204,True,2.601365742083787,True,13.096891323844932,False,25.937731119500157,False,0.9143681635718303,False,3.196748216956423,False
1,9382,4.691,healthy,1,4.2342534391777615,True,9.18959593376531,True,3.876700332608488,True,16.870963702815683,False,87394.56583899983,False,1.1817983898327464,False,1.3948806845661745,False
2,14126,7.063,healthy,1,5.920287728921231,True,12.489935895791929,True,2.9949369068232228,True,11.601884253705126,False,2198.835077229971,False,1.3720071183435185,False,2.131192423294971,False
3,36006,18.003,healthy,1,2.956799222063051,True,23.263241158114653,True,13.973015230901298,True,13.827275621205228,False,1985.0608373542764,False,1.0179718611715165,False,2.139885696125937,False
4,38167,19.0835,healthy,1,4.489569474583984,True,8.72446034693396,True,2.289007902196292,True,12.132765415464355,False,0.16904385348154335,False,1.3314651623803515,False,2.430370507619309,False
5,41100,20.55,healthy,1,5.277463287000433,True,14.475234311543783,True,4.851793431535878,True,10.64927447016534,False,0.00024981089165373256,False,1.2130924187641596,False,2.8668892744710144,False
6,122791,61.3955,healthy,1,3.6822281153093925,True,18.816786510370815,True,2.6266575690051894,True,4.48365895631825,False,715.5525628750628,False,1.046706430882581,False,2.1067437369736286,False
7,191668,95.834,healthy,1,3.745155701703817,True,6.529877296185493,True,2.103993391853228,True,7.6894833373390945,False,30568.31306740077,False,1.0634264688970578,False,2.4528958516610335,False
8,197513,98.7565,healthy,1,7.3235526057296045,True,14.002458838104072,True,2.0970388386337264,True,2.159830240858636,False,12406.956986926252,False,0.9772556148946896,False,2.7543338518522624,False
9,227235,113.6175,healthy,1,5.634098470670059,True,10.450388365916226,True,1.8386919316445962,True,9.064812748097767,False,67692.36660418642,False,1.4448096982767926,False,3.186242156331158,False
10,229678,114.839,healthy,1,31.731362559844413,True,66.68507287071668,True,19.285109897695577,True,80.80879096614387,False,160.6383342437829,False,0.9673804692664656,False,10.057068057103626,False
11,241506,120.753,healthy,1,15.12096452545333,True,32.45957849083236,True,3.5239685827156766,True,2.911147306494678,False,0.2793479149464153,False,1.0057184396369099,False,2.2603988896125426,False
12,247077,123.5385,healthy,1,4.565540802340005,True,36.17201704505473,True,2.5212571516760325,True,2.500381421134637,False,3285.477248774861,False,1.130562016837014,False,1.818121927949328,False
13,278254,139.127,healthy,1,3.8223586063885735,True,10.616493545195638,True,0.9957914582060801,True,6.0718687108123515,False,3.102625391088942e-05,False,0.9813432445612957,False,2.068183912597967,False
14,290191,145.0955,healthy,1,30.6697179669102,True,62.89995313565677,True,12.61156148238788,True,73.47653701218138,False,16328.27004358767,False,0.9955658926735105,False,8.63201053638009,False
15,294794,147.397,healthy,1,4.405948493245327,True,11.720892093027315,True,41.07062697556057,True,1.478242705492967,False,0.000470395312249575,False,0.8739325541086225,False,2.8069100059640046,False
16,300949,150.4745,healthy,1,7.560624652132292,True,128.8178297710233,True,1.6726018695203502,True,5.412545503671572,False,211792.36714576726,False,1.1534955098350315,False,67.92294372621181,False
17,304880,152.44,healthy,1,3.5010460049109207,True,9.899249147416532,True,1.3563047502639753,True,5.03873468191451,False,0.03222153939196323,False,0.7732335431535298,False,3.3889803659680977,False
18,310472,155.236,healthy,1,4.64965664765648,True,17.360856128618103,True,1.6766634373076057,True,5.106938046447344,False,0.2928851720704027,False,1.1436897726246782,False,3.2359273228118135,False
19,312955,156.4775,healthy,1,3.386280996231112,True,43.51521580889558,True,9.597134513105782,True,3.0496770773663404,False,303837.5869980861,False,1.0338160421878817,False,5.062051479394935,False
20,323885,161.9425,healthy,1,3.922155957724822,True,41.27594065712344,True,1.6317428132477305,True,2.408252622650555,False,5.201827019967222e-05,False,1.1540067482422924,False,3.259454262272831,False
21,331210,165.605,healthy,1,5.806620317009867,True,169.8013843401331,True,14.05315613403555,True,1.3645063869562937,False,2.867242697079379e-05,False,1.004579748963914,False,2.89756551614057,False
22,335963,167.9815,healthy,1,41.38008358890608,True,154.34140708393443,True,46.72997156069465,True,1.5685757493684334,False,4.6531594823079523e-05,False,1.005213378688675,False,3.3272876366857105,False
23,341041,170.5205,healthy,1,4.727983301117334,True,48.21881495708263,True,2.416723225010379,True,2.389625768773908,False,1.0700073504428653,False,0.8612548158337434,False,5.70052542032307,False
24,347975,173.9875,healthy,1,3.987455703683154,True,12.840176651350813,True,1.580602877368357,True,2.7328386697000093,False,0.1302160700045601,False,0.8711144861326603,False,2.9800160544891217,False
25,381249,190.6245,healthy,1,5.697351126836132,True,11.153943927611763,True,5.106834922362525,True,2.1124636028770807,False,22654.90566194908,False,1.0920296956551172,False,2.4861155643037947,False
