channel,hemisphere,stimulus_time,amplitude,latency,peak_time,baseline_std
1,healthy,1.199,2.6477237,7.0,19.5,0.6445653
3,healthy,1.199,3.2901092,33.0,39.5,0.7655371
4,healthy,1.199,116.537674,39.0,39.5,20.724472
5,healthy,1.199,2.6569889,40.5,41.0,0.7649889
6,healthy,1.199,1.3427091,30.5,31.0,0.28059334
7,healthy,1.199,5.9698973,6.5,41.5,1.0837383
1,healthy,2.143,18.444014,5.0,42.5,0.3888838
2,healthy,2.143,5.2773323,21.5,23.0,1.6665131
3,healthy,2.143,8.747311,10.0,42.5,0.4606504
4,healthy,2.143,103.71662,46.5,47.0,20.314543
5,healthy,2.143,18.098776,5.0,42.5,0.7388846
6,healthy,2.143,1.3748106,5.5,24.0,0.20490386
7,healthy,2.143,22.492437,5.0,42.5,2.6976194
1,healthy,3.1865,16.51001,5.0,42.0,1.3486372
2,healthy,3.1865,6.8540807,5.0,41.0,1.124214
3,healthy,3.1865,6.87307,7.5,19.0,1.1048459
4,healthy,3.1865,100.35575,37.5,38.0,16.37095
5,healthy,3.1865,17.04297,5.0,42.5,0.6741114
6,healthy,3.1865,1.1206486,,21.5,0.23989016
7,healthy,3.1865,20.291988,5.0,42.0,0.9655728
2,healthy,4.6625,9.14537,5.5,21.0,0.91401905
3,healthy,4.6625,3.6547031,,41.5,0.861105
4,healthy,4.6625,106.11783,30.0,30.0,20.900501
5,healthy,4.6625,2.9805968,,16.5,0.93694603
6,healthy,4.6625,0.9595369,,40.5,0.29964986
1,healthy,5.66,3.6352377,37.0,43.0,1.1074136
3,healthy,5.66,3.5711377,7.5,22.5,0.44712973
4,healthy,5.66,92.692726,40.0,40.5,17.58422
5,healthy,5.66,4.0244913,5.0,44.5,0.8786501
7,healthy,5.66,9.004865,,43.5,2.4119983
3,healthy,6.61,4.038164,,20.5,1.3294247
4,healthy,6.61,142.03891,35.0,36.0,20.55324
5,healthy,6.61,4.246952,5.0,17.0,0.95600325
6,healthy,6.61,1.0791504,47.5,47.5,0.21869713
2,healthy,8.346,6.667534,43.5,47.5,1.5090477
3,healthy,8.346,3.6099687,6.5,42.0,0.9231381
4,healthy,8.346,85.95561,,15.5,21.210417
5,healthy,8.346,3.0633426,,31.0,0.87559944
6,healthy,8.346,1.3016784,,17.5,0.2894067
1,healthy,9.216,2.7533624,19.0,20.5,0.55993813
2,healthy,9.216,10.518359,,37.5,3.2660134
3,healthy,9.216,71.06471,44.0,47.5,3.623064
4,healthy,9.216,92.14626,46.5,47.0,17.182064
5,healthy,9.216,5.4673343,12.0,48.5,0.8132894
6,healthy,9.216,0.9228312,,31.5,0.2912938
1,healthy,10.067,6.127181,22.5,47.0,0.7588571
2,healthy,10.067,6.3770595,38.5,46.0,1.6817172
3,healthy,10.067,4.210865,11.0,17.5,0.70219785
4,healthy,10.067,131.84244,32.5,33.5,15.16649
6,healthy,10.067,0.76612926,,43.0,0.24599265
1,healthy,10.894,3.2244549,5.0,21.0,0.9026498
4,healthy,10.894,103.08238,31.5,34.5,19.940666
5,healthy,10.894,3.9043405,5.5,22.0,1.0658655
6,healthy,10.894,0.90842396,,43.5,0.19714737
1,healthy,11.8345,2.6793442,,50.0,0.75466365
2,healthy,11.8345,3.6771283,,43.0,1.0971617
4,healthy,11.8345,107.16425,5.5,45.5,20.50013
5,healthy,11.8345,4.4839306,5.0,24.5,1.1175265
6,healthy,11.8345,0.8897511,,24.5,0.27969134
7,healthy,11.8345,4.472349,30.5,31.5,0.77777493
6,healthy,12.6425,1.2557827,24.0,24.5,0.22913072
1,healthy,13.528,3.7108839,7.5,35.0,0.4722553
3,healthy,13.528,3.186483,12.0,21.0,0.96368784
4,healthy,13.528,97.47729,42.0,42.5,20.987066
5,healthy,13.528,3.2463417,,18.0,0.97069657
6,healthy,13.528,1.0749466,11.0,17.5,0.2024662
7,healthy,13.528,6.5368676,10.5,32.0,1.0661477
2,healthy,15.572,6.9023814,47.5,48.5,1.2854711
3,healthy,15.572,25.918858,15.0,19.0,0.5677393
4,healthy,15.572,111.206024,6.5,46.0,18.72181
5,healthy,15.572,5.083747,5.0,28.5,0.68646693
6,healthy,15.572,0.82993865,6.0,28.0,0.22839324
1,healthy,16.594,4.0351586,6.0,37.5,0.6851999
4,healthy,16.594,94.97333,15.5,18.5,18.003723
5,healthy,16.594,3.5094333,7.5,44.5,0.5758499
6,healthy,16.594,0.9730035,,33.5,0.2779855
7,healthy,16.594,4.467028,,35.0,0.92717254
